Stats
CPU,Threads,Memory,Framework
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
0.0,3,1400.0,Kitura
5.3,5,2956.0,Kitura
5.5,5,2972.0,Kitura
5.3,6,3000.0,Kitura
5.3,6,3004.0,Kitura
5.1,6,3004.0,Kitura
4.8,6,3008.0,Kitura
5.2,6,3016.0,Kitura
4.4,6,3020.0,Kitura
5.7,6,3024.0,Kitura
5.8,6,3024.0,Kitura
5.8,6,3024.0,Kitura
6.1,6,3016.0,Kitura
6.1,6,3016.0,Kitura
5.4,6,3016.0,Kitura
5.9,6,3024.0,Kitura
6.5,6,3028.0,Kitura
5.2,6,3028.0,Kitura
5.6,6,3028.0,Kitura
5.7,6,3028.0,Kitura
5.7,6,3028.0,Kitura
5.6,6,3028.0,Kitura
5.6,6,3028.0,Kitura
5.7,6,3028.0,Kitura
4.4,6,3028.0,Kitura
5.6,6,3028.0,Kitura
4.5,6,3028.0,Kitura
5.7,6,3028.0,Kitura
5.1,6,3028.0,Kitura
5.3,6,3028.0,Kitura
5.2,6,3028.0,Kitura
5.4,6,3032.0,Kitura
5.3,6,3032.0,Kitura
5.2,6,3032.0,Kitura
5.3,6,3032.0,Kitura
5.3,6,3032.0,Kitura
5.0,6,3032.0,Kitura
5.5,6,3032.0,Kitura
5.6,6,3032.0,Kitura
5.4,6,3032.0,Kitura
5.6,6,3032.0,Kitura
5.9,6,3032.0,Kitura
5.7,6,3032.0,Kitura
5.7,6,3032.0,Kitura
5.9,6,3032.0,Kitura
5.7,6,3032.0,Kitura
6.4,6,3032.0,Kitura
5.7,6,3032.0,Kitura
5.8,6,3032.0,Kitura
5.6,6,3032.0,Kitura
5.5,6,3032.0,Kitura
5.7,6,3032.0,Kitura
5.6,6,3032.0,Kitura
5.1,6,3032.0,Kitura
5.5,6,3032.0,Kitura
5.4,6,3032.0,Kitura
5.0,6,3032.0,Kitura
5.7,6,3024.0,Kitura
3.8,6,3024.0,Kitura
5.1,6,3024.0,Kitura
5.3,6,3024.0,Kitura
5.1,6,3024.0,Kitura
5.4,6,3024.0,Kitura
5.6,6,3016.0,Kitura
5.5,6,3016.0,Kitura
5.5,6,3016.0,Kitura
4.8,6,3016.0,Kitura
5.7,6,3016.0,Kitura
5.7,6,3016.0,Kitura
5.6,6,3016.0,Kitura
5.5,6,3016.0,Kitura
5.7,6,3016.0,Kitura
6.1,6,3016.0,Kitura
5.8,6,3016.0,Kitura
5.7,6,3016.0,Kitura
5.7,6.0,3016.0,Kitura
6.4,6,3016.0,Kitura
5.6,6,3016.0,Kitura
5.6,6,3016.0,Kitura
5.4,6,3016.0,Kitura
5.5,6,3016.0,Kitura
5.4,6,3016.0,Kitura
5.6,6,3016.0,Kitura
5.6,6,3016.0,Kitura
5.4,6,3016.0,Kitura
5.5,6,3016.0,Kitura
4.6,6,3016.0,Kitura
5.3,6,3016.0,Kitura
3.7,6,3020.0,Kitura
5.3,6,3020.0,Kitura
5.8,6,3020.0,Kitura
5.4,6,3020.0,Kitura
5.5,6,3020.0,Kitura
5.5,6,3020.0,Kitura
5.6,6,3020.0,Kitura
5.6,6,3020.0,Kitura
4.9,6,3020.0,Kitura
5.6,6,3020.0,Kitura
6.2,6,3448.0,Kitura
5.7,6,3552.0,Kitura
5.7,6,3552.0,Kitura
5.7,6,3552.0,Kitura
5.7,6,3552.0,Kitura
5.8,6,3552.0,Kitura
5.9,6,3552.0,Kitura
5.6,6,3552.0,Kitura
6.1,6,3556.0,Kitura
5.7,6,3556.0,Kitura
5.6,6,3556.0,Kitura
5.4,6,3560.0,Kitura
5.4,6,3560.0,Kitura
5.3,6,3560.0,Kitura
5.3,6,3560.0,Kitura
4.9,6,3560.0,Kitura
5.3,6,3560.0,Kitura
5.1,6,3560.0,Kitura
4.8,6,3560.0,Kitura
5.2,6,3552.0,Kitura
4.5,6,3552.0,Kitura
5.7,6,3552.0,Kitura
5.6,6,3552.0,Kitura
5.6,6,3552.0,Kitura
5.7,6,3552.0,Kitura
5.6,6,3552.0,Kitura
5.6,6,3552.0,Kitura
5.4,6,3552.0,Kitura
4.8,6,3552.0,Kitura
5.5,6,3552.0,Kitura
